valuation_date,expiry,maturity,spot,rate,dividend,strike,call_mid
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,220.000000,92.9100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,225.000000,87.9200000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,230.000000,82.9300000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,235.000000,77.9200000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,240.000000,72.9300000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,245.000000,67.9300000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,250.000000,62.9500000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,255.000000,57.9500000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,260.000000,52.9600000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,265.000000,47.9700000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,270.000000,42.9900000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,271.000000,41.9900000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,272.000000,40.9900000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,273.000000,40.0000000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,274.000000,39.0000000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,275.000000,38.0000000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,276.000000,37.0200000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,277.000000,36.0200000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,278.000000,35.0300000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,279.000000,34.0300000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,280.000000,33.0400000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,281.000000,32.0400000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,282.000000,31.0500000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,283.000000,30.0600000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,284.000000,29.0700000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,285.000000,28.0900000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,286.000000,27.0900000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,287.000000,26.1100000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,288.000000,25.1200000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,289.000000,24.1500000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,290.000000,23.1700000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,291.000000,22.2000000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,292.000000,21.2300000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,293.000000,20.2700000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,294.000000,19.3000000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,295.000000,18.3400000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,296.000000,17.4000000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,297.000000,16.4500000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,298.000000,15.5300000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,299.000000,14.5900000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,300.000000,13.6800000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,301.000000,12.7800000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,302.000000,11.8800000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,303.000000,11.0000000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,304.000000,10.1300000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,305.000000,9.2900000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,306.000000,8.4600000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,307.000000,7.6500000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,308.000000,6.8600000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,309.000000,6.1000000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,310.000000,5.3800000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,311.000000,4.6900000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,312.000000,4.0400000000
2020-07-05,2020-07-10,0.0136986301,312.90500000,0.00100000,0.00000000,313.000000,3.4400000000
